n,edge_prob,seed,algo,time,size,valid,opt_size,gap
8,0.05,0,Vét cạn,8.719999459572136e-05,8,True,8,0
8,0.05,0,Nhánh cận,2.5200017262250185e-05,8,True,8,0
8,0.05,0,Tham lam,1.550000160932541e-05,8,True,8,0
8,0.05,0,ACO,0.030024000006960705,8,True,8,0
8,0.05,1,Vét cạn,5.3800002206116915e-05,4,True,4,0
8,0.05,1,Nhánh cận,5.800000508315861e-05,4,True,4,0
8,0.05,1,Tham lam,1.1399999493733048e-05,4,True,4,0
8,0.05,1,ACO,0.017206799995619804,4,True,4,0
8,0.05,2,Vét cạn,9.450002107769251e-05,6,True,6,0
8,0.05,2,Nhánh cận,9.800001862458885e-05,6,True,6,0
8,0.05,2,Tham lam,1.780001912266016e-05,6,True,6,0
8,0.05,2,ACO,0.02441559999715537,6,True,6,0
12,0.05,0,Vét cạn,0.0017974999791476876,10,True,10,0
12,0.05,0,Nhánh cận,8.9899986051023e-05,10,True,10,0
12,0.05,0,Tham lam,2.81000102404505e-05,10,True,10,0
12,0.05,0,ACO,0.049461299990070984,10,True,10,0
12,0.05,1,Vét cạn,0.0007574999763164669,6,True,6,0
12,0.05,1,Nhánh cận,0.00014449999434873462,6,True,6,0
12,0.05,1,Tham lam,2.060001133941114e-05,6,True,6,0
12,0.05,1,ACO,0.03290319998632185,6,True,6,0
12,0.05,2,Vét cạn,0.0018288999854121357,10,True,10,0
12,0.05,2,Nhánh cận,0.00011530000483617187,10,True,10,0
12,0.05,2,Tham lam,2.649999805726111e-05,10,True,10,0
12,0.05,2,ACO,0.0536265000118874,10,True,10,0
16,0.05,0,Vét cạn,0.03279549998114817,13,True,13,0
16,0.05,0,Nhánh cận,0.0004498999915085733,13,True,13,0
16,0.05,0,Tham lam,4.7200010158121586e-05,13,True,13,0
16,0.05,0,ACO,0.08068139999522828,13,True,13,0
16,0.05,1,Vét cạn,0.014720300008775666,8,True,8,0
16,0.05,1,Nhánh cận,0.0006214000168256462,8,True,8,0
16,0.05,1,Tham lam,3.91000066883862e-05,8,True,8,0
16,0.05,1,ACO,0.06256660001236014,8,True,8,0
16,0.05,2,Vét cạn,0.02092600002652034,9,True,9,0
16,0.05,2,Nhánh cận,0.00011550000635907054,9,True,9,0
16,0.05,2,Tham lam,3.679998917505145e-05,9,True,9,0
16,0.05,2,ACO,0.06449160000192933,9,True,9,0
20,0.05,0,Nhánh cận,0.0006817000103183091,12,True,12,0
20,0.05,0,Tham lam,6.059999577701092e-05,12,True,12,0
20,0.05,0,ACO,0.09886740002548322,12,True,12,0
20,0.05,1,Nhánh cận,0.0021243000228423625,8,True,8,0
20,0.05,1,Tham lam,4.949999856762588e-05,8,True,8,0
20,0.05,1,ACO,0.07839129999047145,8,True,8,0
20,0.05,2,Nhánh cận,0.0011041999969165772,10,True,10,0
20,0.05,2,Tham lam,5.8699981309473515e-05,11,True,10,1
20,0.05,2,ACO,0.09420870000030845,10,True,10,0
30,0.05,0,Nhánh cận,0.043241300008958206,14,True,14,0
30,0.05,0,Tham lam,0.00016070000128820539,14,True,14,0
30,0.05,0,ACO,0.23264510001172312,14,True,14,0
30,0.05,1,Nhánh cận,0.3876501000195276,14,True,14,0
30,0.05,1,Tham lam,0.00025820001610554755,14,True,14,0
30,0.05,1,ACO,0.29022470000199974,14,True,14,0
